region,zone,district,pop_2017,pop_2018,pop_2019,pop_2020
region_03,zone_15,district_274,138793.844,143374.0409,148105.3842,152992.8619
region_03,zone_64,district_101,15789.93896,16311.00695,16849.27017,17405.29609
region_03,zone_08,district_182,42312.24154,43708.54551,45150.92751,46640.90812
region_03,zone_61,district_193,133349.4479,137749.9797,142295.729,146991.4881
region_03,zone_72,district_207,68939.11324,71214.10398,73564.16941,75991.787
region_03,zone_64,district_257,84089.73523,86864.69649,89731.23148,92692.36212
region_03,zone_79,district_300,47342.6119,48904.9181,50518.78039,52185.90015
region_03,zone_79,district_128,170001.3538,175611.3985,181406.5746,187392.9916
region_03,zone_22,district_175,113908.941,117667.9361,121550.978,125562.1602
region_03,zone_08,district_009,8256.710665,8529.182117,8810.645127,9101.396416
region_03,zone_59,district_090,10825.88073,11183.13479,11552.17824,11933.40012
region_03,zone_59,district_227,136519.6779,141024.8273,145678.6466,150486.0419
region_03,zone_79,district_261,101444.8106,104792.4893,108250.6414,111822.9126
region_03,zone_79,district_291,159818.1907,165092.191,170540.2333,176168.061
region_03,zone_22,district_042,91890.76252,94923.157689999993,98055.62189,101291.4574
region_03,zone_22,district_018,167770.5456,173306.9737,179026.1038,184933.9652
region_03,zone_59,district_235,68365.25825,70621.31177,72951.81506,75359.22496
region_13,zone_62,district_215,88126.27377,91034.4408,94038.57735,97141.8504
region_13,zone_14,district_011,114886.6199,118677.8784,122594.2483,126639.8585
region_13,zone_62,district_281,95064.39318,98201.51815,101442.1683,104789.7598
region_13,zone_14,district_073,76668.72747,79198.79548,81812.35573,84512.16347
region_13,zone_76,district_060,185002.3484,191107.4259,197413.971,203928.632
region_13,zone_14,district_014,23708.28772,24490.66121,25298.85303,26133.71518
region_13,zone_26,district_033,10926.19908,11286.76365,11659.22685,12043.98134
region_13,zone_26,district_129,3888.611468,4016.935647,4149.494523,4286.427842
region_13,zone_14,district_120,13576.13392,14024.14634,14486.94317,14965.01229
region_13,zone_26,district_139,54099.64818,55884.93657,57729.13948,59634.20108
region_13,zone_14,district_115,106374.0124,109884.3548,113510.5385,117256.3863
region_13,zone_71,district_122,12974.22379,13402.37318,13844.65149,14301.52499
region_13,zone_62,district_008,42341.14682,43738.40467,45181.77202,46672.7705
region_13,zone_76,district_256,25404.34803,26242.69152,27108.70034,28003.28745
region_13,zone_76,district_211,60943.40033,62954.53254,65032.03212,67178.08918
region_13,zone_26,district_191,13802.27529,14257.75038,14728.25614,15214.28859
region_13,zone_62,district_104,32901.86979,33987.6315,35109.22334,36267.82771
region_13,zone_71,district_097,25531.02121,26373.54491,27243.87189,28142.91966
region_13,zone_14,district_242,40237.01185,41564.83324,42936.47273,44353.37634
region_13,zone_14,district_121,31057.03226,32081.91432,33140.6175,34234.25787
region_04,zone_07,district_263,63328.08664,65417.9135,67576.70464,69806.7359
region_04,zone_56,district_066,8060.324734,8326.31545,8601.08386,8884.919627
region_04,zone_56,district_214,60445.20918,62439.90108,64500.41782,66628.93161
region_04,zone_56,district_153,18666.01517,19281.99367,19918.29946,20575.60335
region_04,zone_07,district_199,27204.12732,28101.86353,29029.22502,29987.18945
region_04,zone_06,district_238,74132.71347,76579.09302,79106.20309,81716.70779
region_04,zone_56,district_102,19511.06979,20154.93509,20820.04795,21507.10953
region_04,zone_07,district_174,64646.67789,66780.01826,68983.75886,71260.22291
region_04,zone_46,district_253,59075.6086,61025.10368,63038.9321,65119.21686
region_04,zone_07,district_040,46646.33451,48185.66355,49775.79045,51418.39153
region_10,zone_51,district_192,107043.935,110576.3848,114225.4055,117994.8439
region_10,zone_32,district_083,31199.00824,32228.57551,33292.1185,34390.75841
region_10,zone_73,district_085,102316.22,105692.6552,109180.5129,112783.4698
region_10,zone_34,district_217,249725.5403,257966.4831,266479.3771,275273.1965
region_10,zone_85,district_058,55174.24479,56994.99487,58875.8297,60818.73208
region_10,zone_36,district_271,124331.848,128434.799,132673.1474,137051.3612
region_10,zone_49,district_277,56957.02097,58836.60267,60778.21055,62783.8915
region_10,zone_32,district_197,19181.20943,19814.18935,20468.05759,21143.50349
region_10,zone_34,district_249,38948.17604,40233.46585,41561.17022,42932.68884
region_10,zone_32,district_061,28039.83023,28965.14462,29920.9944,30908.38721
region_10,zone_03,district_017,91617.01244,94640.37385,97763.50619,100989.7019
region_10,zone_32,district_028,22665.14686,23413.09671,24185.7289,24983.85795
region_10,zone_69,district_228,13618.64169,14068.05687,14532.30275,15011.86874
region_10,zone_32,district_255,118888.302,122811.616,126864.3993,131050.9245
region_10,zone_69,district_232,66540.82445,68736.67165,71004.98182,73348.14622
region_10,zone_85,district_269,139848.887,144463.9003,149231.209,154155.8389
region_10,zone_36,district_113,123128.8779,127192.1309,131389.4712,135725.3238
region_10,zone_04,district_019,36221.7272,37417.0442,38651.80666,39927.31628
region_10,zone_85,district_079,136409.1577,140910.6599,145560.7117,150364.2152
region_10,zone_73,district_047,42052.09394,43439.81304,44873.32687,46354.14666
region_10,zone_33,district_103,59907.06072,61883.99372,63926.16552,66035.72898
region_10,zone_85,district_057,178910.1338,184814.1682,190913.0357,197213.1659
region_10,zone_37,district_236,63275.37699,65363.46443,67520.45876,69748.6339
region_10,zone_73,district_247,122823.6721,126876.8533,131063.7894,135388.8945
region_10,zone_34,district_283,5729.198226,5918.261767,6113.564406,6315.312031
region_10,zone_38,district_231,41409.37635,42775.88576,44187.48999,45645.67716
region_10,zone_49,district_162,121727.8216,125744.8397,129894.4194,134180.9352
region_10,zone_73,district_164,138774.2904,143353.842,148084.5188,152971.3079
region_10,zone_38,district_270,53453.52997,55217.49646,57039.67384,58921.98308
